Unnamed: 0,Order Size,Order Division,Current Position,Shelves,Division Path,Division Path Cost,Shelf Path,Shelf Path Cost,Total Path,Total Path Cost
72,2,5,7,"[22, 36]","[7, 3, 1, 2, 5]",80,"[1, 2, 5, 11, 22, 11, 5, 2, 4, 9, 18, 36, 18, 9, 4, 2, 1]",18,"[7, 3, 1, 2, 5, 1, 2, 5, 11, 22, 11, 5, 2, 4, 9, 18, 36, 18, 9, 4, 2, 1]",98
96,3,7,13,"[33, 57, 60]","[13, 6, 3, 7]",70,"[1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 1, 3, 7, 14, 28, 57, 28, 14, 7, 15, 30, 60, 30, 15, 7, 3, 1]",28,"[13, 6, 3, 7, 1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 1, 3, 7, 14, 28, 57, 28, 14, 7, 15, 30, 60, 30, 15, 7, 3, 1]",98
10,1,9,7,[30],"[7, 3, 1, 2, 4, 9]",90,"[1, 3, 7, 15, 30, 15, 7, 3, 1]",10,"[7, 3, 1, 2, 4, 9, 1, 3, 7, 15, 30, 15, 7, 3, 1]",100
31,1,4,15,[44],"[15, 7, 3, 1, 2, 4]",90,"[1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1]",12,"[15, 7, 3, 1, 2, 4, 1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1]",102
39,3,12,7,"[6, 43, 44]","[7, 3, 6, 12]",80,"[1, 3, 6, 3, 1, 2, 5, 10, 21, 43, 21, 10, 5, 11, 22, 44, 22, 11, 5, 2, 1]",22,"[7, 3, 6, 12, 1, 3, 6, 3, 1, 2, 5, 10, 21, 43, 21, 10, 5, 11, 22, 44, 22, 11, 5, 2, 1]",102
45,1,8,14,[12],"[14, 7, 3, 1, 2, 4, 8]",100,"[1, 3, 6, 12, 6, 3, 1]",8,"[14, 7, 3, 1, 2, 4, 8, 1, 3, 6, 12, 6, 3, 1]",108
23,2,11,9,"[36, 63]","[9, 4, 2, 5, 11]",90,"[1, 2, 4, 9, 18, 36, 18, 9, 4, 2, 1, 3, 7, 15, 31, 63, 31, 15, 7, 3, 1]",22,"[9, 4, 2, 5, 11, 1, 2, 4, 9, 18, 36, 18, 9, 4, 2, 1, 3, 7, 15, 31, 63, 31, 15, 7, 3, 1]",112
48,1,4,6,[33],"[6, 3, 1, 2, 4]",100,"[1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 1]",12,"[6, 3, 1, 2, 4, 1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 1]",112
89,3,4,6,"[3, 6, 53]","[6, 3, 1, 2, 4]",100,"[1, 3, 6, 13, 26, 53, 26, 13, 6, 3, 1]",12,"[6, 3, 1, 2, 4, 1, 3, 6, 13, 26, 53, 26, 13, 6, 3, 1]",112
83,2,15,5,"[10, 15]","[5, 2, 1, 3, 7, 15]",100,"[1, 2, 5, 10, 5, 2, 1, 3, 7, 15, 7, 3, 1]",14,"[5, 2, 1, 3, 7, 15, 1, 2, 5, 10, 5, 2, 1, 3, 7, 15, 7, 3, 1]",114
33,3,7,9,"[33, 57, 59]","[9, 4, 2, 1, 3, 7]",90,"[1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 1, 3, 7, 14, 28, 57, 28, 14, 29, 59, 29, 14, 7, 3, 1]",26,"[9, 4, 2, 1, 3, 7, 1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 1, 3, 7, 14, 28, 57, 28, 14, 29, 59, 29, 14, 7, 3, 1]",116
37,2,6,4,"[19, 35]","[4, 2, 1, 3, 6]",100,"[1, 2, 4, 9, 19, 9, 4, 8, 17, 35, 17, 8, 4, 2, 1]",16,"[4, 2, 1, 3, 6, 1, 2, 4, 9, 19, 9, 4, 8, 17, 35, 17, 8, 4, 2, 1]",116
88,3,6,4,"[4, 12, 26]","[4, 2, 1, 3, 6]",100,"[1, 2, 4, 2, 1, 3, 6, 12, 6, 13, 26, 13, 6, 3, 1]",16,"[4, 2, 1, 3, 6, 1, 2, 4, 2, 1, 3, 6, 12, 6, 13, 26, 13, 6, 3, 1]",116
51,2,14,12,"[13, 35]","[12, 6, 3, 7, 14]",100,"[1, 3, 6, 13, 6, 3, 1, 2, 4, 8, 17, 35, 17, 8, 4, 2, 1]",18,"[12, 6, 3, 7, 14, 1, 3, 6, 13, 6, 3, 1, 2, 4, 8, 17, 35, 17, 8, 4, 2, 1]",118
69,2,15,5,"[40, 46]","[5, 2, 1, 3, 7, 15]",100,"[1, 2, 5, 10, 20, 40, 20, 10, 5, 11, 23, 46, 23, 11, 5, 2, 1]",18,"[5, 2, 1, 3, 7, 15, 1, 2, 5, 10, 20, 40, 20, 10, 5, 11, 23, 46, 23, 11, 5, 2, 1]",118
62,3,15,5,"[1, 24, 59]","[5, 2, 1, 3, 7, 15]",100,"[1, 3, 6, 12, 24, 12, 6, 3, 7, 14, 29, 59, 29, 14, 7, 3, 1]",18,"[5, 2, 1, 3, 7, 15, 1, 3, 6, 12, 24, 12, 6, 3, 7, 14, 29, 59, 29, 14, 7, 3, 1]",118
5,3,11,7,"[1, 26, 44]","[7, 3, 1, 2, 5, 11]",100,"[1, 3, 6, 13, 26, 13, 6, 3, 1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1]",20,"[7, 3, 1, 2, 5, 11, 1, 3, 6, 13, 26, 13, 6, 3, 1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1]",120
68,1,5,6,[63],"[6, 3, 1, 2, 5]",110,"[1, 3, 7, 15, 31, 63, 31, 15, 7, 3, 1]",12,"[6, 3, 1, 2, 5, 1, 3, 7, 15, 31, 63, 31, 15, 7, 3, 1]",122
82,1,5,6,[48],"[6, 3, 1, 2, 5]",110,"[1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 1]",12,"[6, 3, 1, 2, 5, 1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 1]",122
73,2,6,5,"[16, 21]","[5, 2, 1, 3, 6]",110,"[1, 2, 4, 8, 16, 8, 4, 2, 5, 10, 21, 10, 5, 2, 1]",16,"[5, 2, 1, 3, 6, 1, 2, 4, 8, 16, 8, 4, 2, 5, 10, 21, 10, 5, 2, 1]",126
66,2,12,2,"[22, 42]","[2, 1, 3, 6, 12]",110,"[1, 2, 5, 11, 22, 11, 5, 10, 21, 42, 21, 10, 5, 2, 1]",16,"[2, 1, 3, 6, 12, 1, 2, 5, 11, 22, 11, 5, 10, 21, 42, 21, 10, 5, 2, 1]",126
65,3,2,13,"[34, 36, 41]","[13, 6, 3, 1, 2]",100,"[1, 2, 4, 8, 17, 34, 17, 8, 4, 9, 18, 36, 18, 9, 4, 2, 5, 10, 20, 41, 20, 10, 5, 2, 1]",26,"[13, 6, 3, 1, 2, 1, 2, 4, 8, 17, 34, 17, 8, 4, 9, 18, 36, 18, 9, 4, 2, 5, 10, 20, 41, 20, 10, 5, 2, 1]",126
35,2,8,6,"[61, 63]","[6, 3, 1, 2, 4, 8]",110,"[1, 3, 7, 15, 30, 61, 30, 15, 31, 63, 31, 15, 7, 3, 1]",16,"[6, 3, 1, 2, 4, 8, 1, 3, 7, 15, 30, 61, 30, 15, 31, 63, 31, 15, 7, 3, 1]",126
58,2,7,10,"[38, 41]","[10, 5, 2, 1, 3, 7]",110,"[1, 2, 4, 9, 19, 38, 19, 9, 4, 2, 5, 10, 20, 41, 20, 10, 5, 2, 1]",20,"[10, 5, 2, 1, 3, 7, 1, 2, 4, 9, 19, 38, 19, 9, 4, 2, 5, 10, 20, 41, 20, 10, 5, 2, 1]",130
57,2,10,7,"[51, 57]","[7, 3, 1, 2, 5, 10]",110,"[1, 3, 6, 12, 25, 51, 25, 12, 6, 3, 7, 14, 28, 57, 28, 14, 7, 3, 1]",20,"[7, 3, 1, 2, 5, 10, 1, 3, 6, 12, 25, 51, 25, 12, 6, 3, 7, 14, 28, 57, 28, 14, 7, 3, 1]",130
71,3,7,10,"[4, 7, 33]","[10, 5, 2, 1, 3, 7]",110,"[1, 2, 4, 2, 1, 3, 7, 3, 1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 1]",20,"[10, 5, 2, 1, 3, 7, 1, 2, 4, 2, 1, 3, 7, 3, 1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 1]",130
29,2,10,7,"[45, 48]","[7, 3, 1, 2, 5, 10]",110,"[1, 2, 5, 11, 22, 45, 22, 11, 5, 2, 1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 1]",22,"[7, 3, 1, 2, 5, 10, 1, 2, 5, 11, 22, 45, 22, 11, 5, 2, 1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 1]",132
54,1,11,14,[60],"[14, 7, 3, 1, 2, 5, 11]",120,"[1, 3, 7, 15, 30, 60, 30, 15, 7, 3, 1]",12,"[14, 7, 3, 1, 2, 5, 11, 1, 3, 7, 15, 30, 60, 30, 15, 7, 3, 1]",132
60,2,13,4,"[5, 61]","[4, 2, 1, 3, 6, 13]",120,"[1, 2, 5, 2, 1, 3, 7, 15, 30, 61, 30, 15, 7, 3, 1]",16,"[4, 2, 1, 3, 6, 13, 1, 2, 5, 2, 1, 3, 7, 15, 30, 61, 30, 15, 7, 3, 1]",136
25,3,14,11,"[14, 30, 57]","[11, 5, 2, 1, 3, 7, 14]",120,"[1, 3, 7, 14, 7, 15, 30, 15, 7, 14, 28, 57, 28, 14, 7, 3, 1]",18,"[11, 5, 2, 1, 3, 7, 14, 1, 3, 7, 14, 7, 15, 30, 15, 7, 14, 28, 57, 28, 14, 7, 3, 1]",138
6,2,14,11,"[28, 50]","[11, 5, 2, 1, 3, 7, 14]",120,"[1, 3, 7, 14, 28, 14, 7, 3, 6, 12, 25, 50, 25, 12, 6, 3, 1]",18,"[11, 5, 2, 1, 3, 7, 14, 1, 3, 7, 14, 28, 14, 7, 3, 6, 12, 25, 50, 25, 12, 6, 3, 1]",138
12,3,4,13,"[7, 10, 25]","[13, 6, 3, 1, 2, 4]",120,"[1, 3, 7, 3, 1, 2, 5, 10, 5, 2, 1, 3, 6, 12, 25, 12, 6, 3, 1]",20,"[13, 6, 3, 1, 2, 4, 1, 3, 7, 3, 1, 2, 5, 10, 5, 2, 1, 3, 6, 12, 25, 12, 6, 3, 1]",140
44,3,14,11,"[6, 24, 44]","[11, 5, 2, 1, 3, 7, 14]",120,"[1, 3, 6, 12, 24, 12, 6, 3, 1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1]",20,"[11, 5, 2, 1, 3, 7, 14, 1, 3, 6, 12, 24, 12, 6, 3, 1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1]",140
98,1,10,14,[24],"[14, 7, 3, 1, 2, 5, 10]",130,"[1, 3, 6, 12, 24, 12, 6, 3, 1]",10,"[14, 7, 3, 1, 2, 5, 10, 1, 3, 6, 12, 24, 12, 6, 3, 1]",140
70,1,10,15,[45],"[15, 7, 3, 1, 2, 5, 10]",130,"[1, 2, 5, 11, 22, 45, 22, 11, 5, 2, 1]",12,"[15, 7, 3, 1, 2, 5, 10, 1, 2, 5, 11, 22, 45, 22, 11, 5, 2, 1]",142
61,1,5,13,[40],"[13, 6, 3, 1, 2, 5]",130,"[1, 2, 5, 10, 20, 40, 20, 10, 5, 2, 1]",12,"[13, 6, 3, 1, 2, 5, 1, 2, 5, 10, 20, 40, 20, 10, 5, 2, 1]",142
16,2,10,6,"[3, 3]","[6, 3, 1, 2, 5, 10]",140,"[1, 3, 1]",4,"[6, 3, 1, 2, 5, 10, 1, 3, 1]",144
30,2,15,10,"[8, 48]","[10, 5, 2, 1, 3, 7, 15]",130,"[1, 2, 4, 8, 4, 2, 1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 1]",18,"[10, 5, 2, 1, 3, 7, 15, 1, 2, 4, 8, 4, 2, 1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 1]",148
99,1,6,10,[10],"[10, 5, 2, 1, 3, 6]",140,"[1, 2, 5, 10, 5, 2, 1]",8,"[10, 5, 2, 1, 3, 6, 1, 2, 5, 10, 5, 2, 1]",148
49,2,12,4,"[55, 57]","[4, 2, 1, 3, 6, 12]",130,"[1, 3, 6, 13, 27, 55, 27, 13, 6, 3, 7, 14, 28, 57, 28, 14, 7, 3, 1]",20,"[4, 2, 1, 3, 6, 12, 1, 3, 6, 13, 27, 55, 27, 13, 6, 3, 7, 14, 28, 57, 28, 14, 7, 3, 1]",150
42,1,6,10,[46],"[10, 5, 2, 1, 3, 6]",140,"[1, 2, 5, 11, 23, 46, 23, 11, 5, 2, 1]",12,"[10, 5, 2, 1, 3, 6, 1, 2, 5, 11, 23, 46, 23, 11, 5, 2, 1]",152
21,2,12,5,"[1, 45]","[5, 2, 1, 3, 6, 12]",140,"[1, 2, 5, 11, 22, 45, 22, 11, 5, 2, 1]",12,"[5, 2, 1, 3, 6, 12, 1, 2, 5, 11, 22, 45, 22, 11, 5, 2, 1]",152
11,2,13,9,"[4, 36]","[9, 4, 2, 1, 3, 6, 13]",140,"[1, 2, 4, 9, 18, 36, 18, 9, 4, 2, 1]",12,"[9, 4, 2, 1, 3, 6, 13, 1, 2, 4, 9, 18, 36, 18, 9, 4, 2, 1]",152
43,3,11,6,"[17, 25, 30]","[6, 3, 1, 2, 5, 11]",130,"[1, 2, 4, 8, 17, 8, 4, 2, 1, 3, 6, 12, 25, 12, 6, 3, 7, 15, 30, 15, 7, 3, 1]",24,"[6, 3, 1, 2, 5, 11, 1, 2, 4, 8, 17, 8, 4, 2, 1, 3, 6, 12, 25, 12, 6, 3, 7, 15, 30, 15, 7, 3, 1]",154
22,1,9,12,[7],"[12, 6, 3, 1, 2, 4, 9]",150,"[1, 3, 7, 3, 1]",6,"[12, 6, 3, 1, 2, 4, 9, 1, 3, 7, 3, 1]",156
95,1,13,11,[15],"[11, 5, 2, 1, 3, 6, 13]",150,"[1, 3, 7, 15, 7, 3, 1]",8,"[11, 5, 2, 1, 3, 6, 13, 1, 3, 7, 15, 7, 3, 1]",158
40,1,11,12,[9],"[12, 6, 3, 1, 2, 5, 11]",160,"[1, 2, 4, 9, 4, 2, 1]",8,"[12, 6, 3, 1, 2, 5, 11, 1, 2, 4, 9, 4, 2, 1]",168
94,2,11,13,"[48, 56]","[13, 6, 3, 1, 2, 5, 11]",150,"[1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 7, 14, 28, 56, 28, 14, 7, 3, 1]",20,"[13, 6, 3, 1, 2, 5, 11, 1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 7, 14, 28, 56, 28, 14, 7, 3, 1]",170
